排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
173,天将雄师,2015-02-19,8.3,74201,40.640205,38,"动作,战争,古装","中国大陆,中国香港"
174,猩球崛起3：终极之战,2017-09-15,8.2,74051,34.9678,16,"动作,冒险,剧情",美国
175,金刚狼3：殊死一战,2017-03-03,8.6,73008,32.372185,16,"动作,冒险,科幻",美国
176,西游记女儿国,2018-02-16,7.9,72741,39.74682,33,"喜剧,爱情,动作",中国大陆
177,X战警：逆转未来,2014-05-23,9.0,72293,37.240368,29,"剧情,动作,科幻,冒险","美国,英国"
178,终结者：创世纪,2015-08-23,8.9,72240,36.772095,24,"动作,冒险,科幻",美国
179,致我们终将逝去的青春,2013-04-26,8.3,71902,31.97473,36,"爱情,青春",中国大陆
180,美国队长2,2014-04-04,9.2,71898,39.05371,29,"动作,科幻,冒险",美国
181,熊出没·原始时代,2019-02-05,9.1,71740,39.03554,22,"喜剧,动画,冒险",中国大陆
182,好东西,2024-11-22,9.2,71428,42.16111,6,"剧情,爱情",中国大陆
183,私人订制,2013-12-19,7.4,71347,35.469856,30,"剧情,喜剧",中国大陆
184,你的名字。,2016-12-02,9.3,71324,29.357342,16,"动画,剧情",日本
185,神探大战,2022-07-08,9.0,71215,37.893658,8,"犯罪,动作,悬疑","中国大陆,中国香港"
186,猩球崛起2：黎明之战,2014-08-29,9.0,70732,36.77872,28,"剧情,动作,科幻",美国
187,三大队,2023-12-15,8.8,70587,42.258656,8,"剧情,犯罪",中国大陆
188,一闪一闪亮星星,2023-12-30,8.9,70239,41.999992,13,"爱情,奇幻",中国大陆
189,使徒行者2：谍影行动,2019-08-07,9.0,70228,36.29202,17,"悬疑,动作,犯罪",中国大陆
190,画皮2,2012-06-28,7.4,70202,41.05247,37,爱情,"中国大陆,中国香港"
191,保你平安,2023-03-10,9.3,70078,42.164967,6,"剧情,喜剧",中国大陆
192,狼图腾,2015-02-19,8.3,70075,39.397194,34,"剧情,冒险",中国大陆
193,铁道飞虎,2016-12-23,8.5,69929,36.7024,18,"剧情,喜剧,动作",中国大陆
194,悟空传,2017-07-13,7.7,69685,35.916782,17,"剧情,动作,奇幻",中国大陆
195,爸爸去哪儿,2014-01-31,8.4,69652,31.801163,40,"喜剧,冒险,家庭",中国大陆
