排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
261,涉过愤怒的海,2023-11-25,8.8,54926,42.31136,8,"剧情,犯罪,悬疑",中国大陆
262,哥，你好,2022-09-09,9.1,54800,41.6395,4,"喜剧,剧情",中国大陆
263,战狼,2015-04-02,9.3,54469,34.260075,25,"动作,战争",中国大陆
264,四海,2022-02-01,8.6,54279,53.10474,17,"剧情,爱情,喜剧",中国大陆
265,007：幽灵党,2015-11-13,8.0,54113,31.537039,28,"动作,惊悚,冒险",美国
266,中国合伙人,2013-05-17,8.9,54065,32.14557,27,"剧情,青春","中国大陆,中国香港"
267,龙门飞甲,2011-12-15,7.7,53992,44.14197,35,"动作,古装,武侠","中国大陆,中国香港"
268,英伦对决,2017-09-30,8.4,53983,37.63522,19,"剧情,动作,犯罪",中国大陆
269,除暴,2020-11-20,8.6,53824,37.086636,8,"犯罪,剧情,动作","中国香港,中国大陆"
270,三生三世十里桃花,2017-08-03,7.1,53501,35.14003,24,"爱情,奇幻,古装",中国大陆
271,警察故事2013,2013-12-24,8.0,53406,39.545963,25,"剧情,动作","中国大陆,中国香港"
272,妖猫传,2017-12-22,7.5,53026,35.54714,23,"爱情,奇幻",中国大陆
273,哆啦A梦：伴我同行,2015-05-28,9.0,52916,34.66687,22,"剧情,喜剧,动画",日本
274,超能陆战队,2015-02-28,9.5,52625,36.70751,25,"动画,喜剧,动作",美国
275,澳门风云,2014-01-31,8.6,52471,32.365917,31,"喜剧,动作","中国大陆,中国香港"
276,杀破狼·贪狼,2017-08-17,8.5,52291,32.32158,18,"悬疑,动作,犯罪","中国大陆,中国香港"
277,熊出没·奇幻空间,2017-01-28,9.1,52114,34.320858,27,"动画,冒险,科幻",中国大陆
278,小时代3：刺金时代,2014-07-17,7.6,52098,31.580196,33,爱情,"中国大陆,中国台湾"
279,北京遇上西雅图,2013-03-21,8.8,52013,31.550077,31,"喜剧,爱情","中国大陆,中国香港"
280,一步之遥,2014-12-18,5.3,51376,42.4509,25,剧情,"中国大陆,美国,中国香港"
281,愤怒的小鸟,2016-05-20,8.7,51297,31.765776,16,"喜剧,动画,动作",芬兰
282,维和防暴队,2024-05-01,8.6,51172,41.85894,8,"动作,剧情",中国大陆
283,滚蛋吧！肿瘤君,2015-08-13,9.0,51045,33.640533,25,"剧情,喜剧,爱情",中国大陆
284,动物世界,2018-06-29,8.5,50967,36.847546,13,"动作,悬疑,冒险",中国大陆
285,我在时间尽头等你,2020-08-25,8.1,50544,35.25194,16,"爱情,奇幻,喜剧",中国大陆
286,1921,2021-07-01,9.4,50476,34.856956,8,"剧情,历史",中国大陆
287,黑衣人3,2012-05-25,8.3,50345,40.718327,28,"动作,喜剧,科幻",美国
288,独立日：卷土重来,2016-06-24,8.4,50219,35.726177,24,"动作,冒险,科幻",美国
289,云边有个小卖部,2024-06-22,8.5,49868,40.519386,6,剧情,中国大陆
290,古墓丽影：源起之战,2018-03-16,8.3,49748,35.066303,14,"悬疑,动作,惊悚",美国
291,盗梦空间,2010-09-01,9.0,49621,30.196854,40,"动作,悬疑,惊悚,科幻","美国,英国"
292,勇敢者游戏：决战丛林,2018-01-12,8.6,49196,34.19796,18,"动作,冒险",美国
293,千与千寻,2019-06-21,9.3,48828,31.226898,12,"动画,冒险,奇幻,家庭",日本
294,紧急救援,2020-12-18,9.2,48526,38.62036,9,"剧情,灾难,动作",中国大陆
295,小小的我,2024-12-27,9.4,48471,40.221066,15,"青春,家庭,剧情",中国大陆
296,小时代4：灵魂尽头,2015-07-09,8.3,48469,30.987238,33,"喜剧,爱情",中国大陆
297,左耳,2015-04-24,7.9,48442,33.99673,25,爱情,中国大陆
